id,name,address1,address2,city,state,zip,phone,latitude,longitude,website,fmId,notes,requirements,adminNotes,inactive,parentOrganization,physicalAccess,email,items,services,facebook,twitter,pinterest,linkedin,description,approvedDate,reviewedLoginId,assignedLoginId,agencyType,assignedDate,reviewNotes,claimedLoginId,claimedDate,instagram,adminContactName,adminContactPhone,adminContactEmail,donationContactName,donationContactPhone,donationContactEmail,donationPickup,donationAcceptFrozen,donationAcceptRefrigerated,donationAcceptPerishable,donationSchedule,donationDeliveryInstructions,covidNotes,donationNotes,categoryNotes,eligibilityNotes,foodTypes,languages,confirmedName,confirmedCategories,confirmedAddress,confirmedPhone,confirmedEmail,confirmedHours,confirmedFoodTypes,verificationStatusId,inactiveTemporary,hours,selectedCategoryIds,neighborhoodId,completeCriticalPercent,foodBakery,foodDryGoods,foodProduce,foodDairy,foodPrepared,foodMeat
,City of Refuge Church,94-929 Waipahu St.,,Waipahu,HI,96797,808-677-5677,,,https://www.corcc.org/,,,,,,,,,,Food Pantry,https://www.facebook.com/corcchawaii/,https://twitter.com/corcchawaii?lang=en,,,,,,,,,,,,https://www.instagram.com/corcchawaii/,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,"(1, 6, 14:00:00, 16:00:00), (2, 6, 14:00:00, 16:00:00), (3, 6, 14:00:00, 16:00:00), (4, 6, 14:00:00, 16:00:00), (-1, 6, 14:00:00, 16:00:00)",1,,,,,,,,
,Lighthouse Outreach Center,94-230 Leokane St.,,Waipahu,HI,96797,808-255-4589,,,http://www.churchservicehonolulu.com/,,,,,,,,,,Food Pantry,https://www.facebook.com/hjhunkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,,1,,,,,,,,
,God Squad,91-240 Kuhela St. - Unit 6,,Kapolei,HI,96707,"808-682-0163 (o)
808-347-9365 (c)",,,http://godsquadchurchhawaii.com/,,,,,,,,,,Food Pantry,https://www.facebook.com/Godsquadchurch/,,,,,,,,,,,,,https://www.instagram.com/godsquadchurchhawaii/?hl=en,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,,1,,,,,,,,
,St. Jude Church Food Pantry,,,Kapolei,HI,,808-349-0976 (c),,,http://www.stjudehawaii.org/jude/index.php?option=com_content&view=category&layout=blog&id=54&Itemid=73,,,,,,,,,,Food Pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,"(1, 3, 15:30:00, 16:30:00), (1, 5, 15:30:00, 16:30:00), (2, 3, 15:30:00, 16:30:00), (2, 5, 15:30:00, 16:30:00), (3, 3, 15:30:00, 16:30:00), (3, 5, 15:30:00, 16:30:00), (4, 3, 15:30:00, 16:30:00), (4, 5, 15:30:00, 16:30:00), (-1, 3, 15:30:00, 16:30:00), (-1, 5, 15:30:00, 16:30:00)",1,,,,,,,,
,Our Lady of Perpetual Help Church,91-1004 North Road,,Ewa Beach,HI,96706,808-689-8681,,,http://www.olphewabeach.org/,,,,,,,,,,Food Pantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,"(4, 6, 10:00:00, 12:00:00)",1,,,,,,,,
,St. Rita Church,89-318 Farrington Hwy,,Waianae,HI,96792,808-668-7833,,,https://www.stritananakuli.org/,,,,,,,,,,Food Pantry,https://www.facebook.com/stritananakuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,"(1, 2, 9:00:00, 11:00:00), (1, 4, 9:00:00, 11:00:00), (1, 6, 9:00:00, 11:00:00), (2, 2, 9:00:00, 11:00:00), (2, 4, 9:00:00, 11:00:00), (2, 6, 9:00:00, 11:00:00), (3, 2, 9:00:00, 11:00:00), (3, 4, 9:00:00, 11:00:00), (3, 6, 9:00:00, 11:00:00), (4, 2, 9:00:00, 11:00:00), (4, 4, 9:00:00, 11:00:00), (4, 6, 9:00:00, 11:00:00)",1,,,,,,,,
,Hoʻomau Ke Ola,85-Farrington Hwy #103,,Waianae,HI,96792,808-696-4266,,,http://www.hoomaukeola.org/,,,,,,,,,,Food Pantry,https://www.facebook.com/hoomaukeola/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,,1,,,,,,,,
,Kealahou West Oahu (WCC),87-132 Farrington Hwy,,Waianae,HI,96792,"808-696-5667  (o)
808--368-4805 (c)",,,,,,,,,,,,,Food Pantry,https://www.facebook.com/Kealahou-West-Oahu-132631974084424/?ref=page_internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,,,,,,,1,,,1,,,,,,,,
,Our Lady of Keaʻau,83-300 Farrington Hwy,,Waianae,HI,96792,"808-696-7255 (o)
808-781-8748",,,https://www.stfrancishawaii.org/services/our-lady-of-keaau,,,,,,,,,,Meal,,,,,,,,,,,,,,https://www.facebook.com/pages/St-Francis-Healthcare-System-of-Hawaii/279433225945,,,,,,,,,,,,,,,,,Meal,,,,,,,,,1,,"(1, 3, 10:00:00, 14:00:00), (2, 3, 10:00:00, 14:00:00), (3, 3, 10:00:00, 14:00:00), (4, 3, 10:00:00, 14:00:00)",1,,,,,,,,
,Sacred Heart Church Waianae Outreach,85-786 Old Government Road,,Waianae,HI,96792,"808-696-3773 (o)
808-351-6738 (c)",,,,,,,,,,,,,Food pantry,https://www.facebook.com/SHCWOutreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,,,,,,,1,,,1,,,,,,,,
