name,address_1,address_2,city,state,zip,phone,latitude,longitude,website,fm_id,notes,created_date,created_login_id,modified_date,modified_login_id,submitted_date,submitted_login_id,requirements,admin_notes,inactive,parent_organization,physical_access,email,items,services,facebook,twitter,pinterest,linkedin,description,approved_date,reviewed_login_id,assigned_login_id,agency_type,assigned_date,review_notes,claimed_login_id,claimed_date,instagram,admin_contact_name,admin_contact_phone,admin_contact_email,donation_contact_name,donation_contact_phone,donation_contact_email,donation_pickup,donation_accept_frozen,donation_accept_refrigerated,donation_accept_perishable,donation_schedule,donation_delivery_instructions,covid_notes,donation_notes,category_notes,eligibility_notes,food_types,languages,v_name,v_categories,v_address,v_email,v_phone,v_hours,verification_status_id,inactive_temporary,hours,category_ids,neighborhood_id,complete_critical_percent,tenant_id
Feed My Sheep Kahului,150 S Puunene Ave,,Kahului,HI,96753,(808) 870-9421,,,http://feedmysheepmaui.com/,,Saturday 9:30am - 12pm ,,,,,,,,Next to Kahului Post Office ID mst be presented upon registration- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Lahaina,Dickenson St & Mill St,,Lahaina,HI,96761,(808) 872-9100,,,http://feedmysheepmaui.com/,,10:30 AM - 11:45 AM Thursdays,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St Johnʻs Episcopal Church,8992 Kula Hwy,,Kula ,HI,96790,(808) 878-1485,,,http://stjohnsmaui.org/,,,,,,,,,,Must register and ID is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Kihei,300 E Welakahao Rd,,Kihei ,HI,96753,(808) 872-9100,,,http://feedmysheepmaui.com/,,Saturday 10:30 AM TO 12:00 NOON,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Wailuku,399 N Market St,,Wailuku,HI,96793,(808) 872-9100,,,http://feedmysheepmaui.com/,,Friday 10:30 AM TO 11:30 AM,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Hana,10 Hauoli Rd,,Hana,HI,96713,(808) 872-9100,,,http://feedmysheepmaui.com/,,"Last Wednesday of Each Month, 4:30 PM TO 5:30 PM",,,,,,,,"On the grounds of Wananalua Congregational Church, Hana Highway at the corner of Hauoli Rd ID mst be presented upon registration and for all family members being claimed- ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Keolahou Church,177 Kihei Road ,,Kihei ,HI,96753,(808) 879-4693,,,https://keolahouhawaiianchurch.org/,,Friday 9am to 10am,,,,,,,,Serves Kihei--Must Register first - ID and proof of REsidency is requird- Make sure to call first to see if they are still in operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Grace Chruch,8 Kiopa'a  Place #104,,Pukalani,HI,96768,(808) 572-7652,,,http://www.gracechurchmaui.com/,,Wednesdays 12- 1pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
St Josephs Church- Outreach Program,1294 Makawao Avenue,,Makawao,HI,96768,808-572-7652,,,,,4th Thursday of every month: 9 am - 11:30 am,,,,,,,,"Need to bring verification of income and need to bring utility bill, etc-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Christ the King Outreach Pantry,20 West Wakea Avenue,,Kahului,HI,96732,,,,https://ctkchurchmaui.org/,,2nd and 4th Friday of the month: 3 - 5 pm-,,,,,,,,ID required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
