name,address_1,address_2,city,state,zip,phone,latitude,longitude,website,fm_id,notes,created_date,created_login_id,modified_date,modified_login_id,submitted_date,submitted_login_id,requirements,admin_notes,inactive,parent_organization,physical_access,email,items,services,facebook,twitter,pinterest,linkedin,description,approved_date,reviewed_login_id,assigned_login_id,agency_type,assigned_date,review_notes,claimed_login_id,claimed_date,instagram,admin_contact_name,admin_contact_phone,admin_contact_email,donation_contact_name,donation_contact_phone,donation_contact_email,donation_pickup,donation_accept_frozen,donation_accept_refrigerated,donation_accept_perishable,donation_schedule,donation_delivery_instructions,covid_notes,donation_notes,category_notes,eligibility_notes,food_types,languages,v_name,v_categories,v_address,v_email,v_phone,v_hours,verification_status_id,inactive_temporary,hours,category_ids,neighborhood_id,complete_critical_percent,tenant_id
Angel Network Charities LLC,5339 Kalanianaole Hwy,,Honolulu,HI,96821,(808) 377-1841,21.277562,-157.7497053,https://www.angelnetworkcharities.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food delivery to house-bound individuals living with HIV/AIDS,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Cedar Assembly of God,620 Waipa Lane,,Honolulu,HI,96817,(808) 226-5394,21.32152685,-157.8623668,http://www.cedaraog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Central Samoan Assembly of God,3544 Kalihi St,,Honolulu,HI,96819,(808) 888-0960,21.36537698,-157.844304,https://www.facebook.com/CentralSaog/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Christ the King Outreach Pantry,20 West Wakea Avenue,,Kahului,HI,96732,,20.88466545,-156.4649111,https://ctkchurchmaui.org/,,2nd and 4th Friday of the month: 3 - 5 pm-,,,,,,,,ID required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Community Church of Honolulu,2345 Nuuanu Ave,,Honolulu,HI,96817,(808) 595-7541,21.32633102,-157.846179,http://www.cchonolulu.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Faamanatu Ministry,4867 Bougainville Dr,,Honolulu,HI,96818,(808) 688-4804,21.3443448,-157.9306083,https://www.facebook.com/faamanatuministry/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Hana,10 Hauoli Rd,,Hana,HI,96713,(808) 872-9100,20.75239994,-155.9868428,http://feedmysheepmaui.com/,,"Last Wednesday of Each Month, 4:30 PM TO 5:30 PM",,,,,,,,"On the grounds of Wananalua Congregational Church, Hana Highway at the corner of Hauoli Rd ID mst be presented upon registration and for all family members being claimed- ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Kahului,150 S Puunene Ave,,Kahului,HI,96753,(808) 870-9421,20.88727775,-156.4655564,http://feedmysheepmaui.com/,,Saturday 9:30am - 12pm ,,,,,,,,Next to Kahului Post Office ID mst be presented upon registration- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Kihei,300 E Welakahao Rd,,Kihei ,HI,96753,(808) 872-9100,20.73927329,-156.446167,http://feedmysheepmaui.com/,,Saturday 10:30 AM TO 12:00 NOON,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Lahaina,Dickenson St & Mill St,,Lahaina,HI,96761,(808) 872-9100,37.12563942,-82.3502466,http://feedmysheepmaui.com/,,10:30 AM - 11:45 AM Thursdays,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Feed My Sheep Wailuku,399 N Market St,,Wailuku,HI,96793,(808) 872-9100,20.8936796,-156.5048473,http://feedmysheepmaui.com/,,Friday 10:30 AM TO 11:30 AM,,,,,,,,ID mst be presented upon registration and for all family members being claimed- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
First Presbyterian Church of Honolulu,45-550 Kionaole Rd,,Honolulu,HI,96744,(808) 532-1111,21.37641,-157.799213,https://www.fpchawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
First United Methodist Church,1020 S Beretania St,,Honolulu,HI,96814,(808) 522-9555,21.30320216,-157.8476268,https://firstumchonolulu.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
God Squad - Foursquare Church,91-240 Kuhela Street Unit 6,,Kapolei,HI,96707,(808) 682-0163,21.30223866,-158.0995556,http://godsquadchurchhawaii.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Grace Chruch,8 Kiopa'a  Place #104,,Pukalani,HI,96768,(808) 572-7652,43.19795,-8.63895,http://www.gracechurchmaui.com/,,Wednesdays 12- 1pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hale Kau Kau,25 W Lipoa St,,Kihei ,HI,96753,(808) 875-8754,20.74750365,-156.4565264,,,"5 to 6 p-m- every week night; and on weekends, 4:30 to 5:30 p-m-",,,,,,,,"Dinner is served to all for free, no questions asked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Bank,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Harbor Church Honolulu,423 Kamakee St,,Honolulu,HI,96814,(808) 447-9269,21.29506677,-157.8510343,https://harborhonolulu.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hawaii Cedar Church,1545 Kamehameha IV Rd,,Honolulu,HI,96819,(808) 255-1234,21.340845,-157.875252,https://www.facebook.com/pages/Hawaii-Cedar-Church/111590832209544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Hawaii Foodbank,2611 Kilihau St,,Honolulu,HI,96819,(808) 836-3600,21.33591363,-157.8945159,https://hawaiifoodbank.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Ho`opono at Unity Church,3608 Diamond Head Cir,,Honolulu,HI,96815,(808) 735-4436,21.26863645,-157.8127476,http://www.unityhawaii.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Honolulu Central Seventh-Day Adventist Church,2313 Nuuanu Ave,,Honolulu,HI,96817,(808) 524-1352,21.32645981,-157.8472987,https://www.honcentralsda.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Honolulu Community College HINET,874 Dilingham Blvd Bldg 7 Room 319,,Honolulu,HI,96817,(808) 235-7320,21.32025062,-157.8699899,https://hinethawaii.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General food insecurity and low-income challenges,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Immaculate Conception Church,91-1298 Renton Rd,,Ewa Beach,HI,96706,(808) 681-3701,21.3450691,-158.0327572,https://www.immaculateconceptionewa.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Ka Hale Ake Ola,670 Waiale Road,,Wailuku,HI,96793,(808) 242-7600,20.87516519,-156.499461,https://www.khako.org/,,Monday and Wednesdays 1 pm - 3 pm-,,,,,,,,ID is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Kaumakapili Church,766 N King St,,Honolulu,HI,96819,(808) 845-0908,21.321647,-157.866478,http://www.kaumakapili.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food pantry,,,English,f,f,f,f,f,f,1,f,,"1",,,1
Keolahou Church,177 Kihei Road ,,Kihei ,HI,96753,(808) 879-4693,20.77898105,-156.461083,https://keolahouhawaiianchurch.org/,,Friday 9am to 10am,,,,,,,,Serves Kihei--Must Register first - ID and proof of REsidency is requird- Make sure to call first to see if they are still in operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile Food Distribution,,,English,f,f,f,f,f,f,1,f,,"1",,,1
